starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 22 15:42:12 2017	1487774532	1	359	361	359
Wed Feb 22 15:42:02 2017	1487774522	1	481	482	475
Wed Feb 22 15:42:12 2017	1487774532	1	513	514	513
Wed Feb 22 15:41:54 2017	1487774514	2	545	547	503
Wed Feb 22 15:41:52 2017	1487774512	2	554	556	536
Wed Feb 22 15:41:55 2017	1487774515	1	587	588	536
Wed Feb 22 15:42:00 2017	1487774520	1	590	591	542
Wed Feb 22 15:42:01 2017	1487774521	1	592	594	547
Wed Feb 22 15:42:01 2017	1487774521	1	596	598	574
Wed Feb 22 15:42:00 2017	1487774520	1	602	603	583
Wed Feb 22 15:41:52 2017	1487774512	1	603	604	598
Wed Feb 22 15:41:51 2017	1487774511	2	606	608	561
Wed Feb 22 15:41:58 2017	1487774518	1	608	609	608
Wed Feb 22 15:41:57 2017	1487774517	1	612	613	566
Wed Feb 22 15:41:53 2017	1487774513	1	614	615	596
Wed Feb 22 15:41:55 2017	1487774515	1	614	616	603
Wed Feb 22 15:41:53 2017	1487774513	1	617	618	576
Wed Feb 22 15:41:53 2017	1487774513	1	618	619	612
Wed Feb 22 15:41:54 2017	1487774514	1	618	620	576
Wed Feb 22 15:42:00 2017	1487774520	1	621	622	568
Wed Feb 22 15:41:53 2017	1487774513	2	621	622	596
Wed Feb 22 15:41:56 2017	1487774516	1	621	623	583
Wed Feb 22 15:41:56 2017	1487774516	1	623	624	614
Wed Feb 22 15:41:51 2017	1487774511	1	625	626	577
Wed Feb 22 15:41:53 2017	1487774513	1	627	629	576
Wed Feb 22 15:42:01 2017	1487774521	2	628	630	606
Wed Feb 22 15:41:56 2017	1487774516	2	629	630	628
Wed Feb 22 15:41:58 2017	1487774518	1	631	633	624
Wed Feb 22 15:42:00 2017	1487774520	1	634	635	613
Wed Feb 22 15:41:59 2017	1487774519	1	634	635	608
Wed Feb 22 15:41:56 2017	1487774516	1	634	635	603
